Time (s),Altitude (m),Velocity (m/s),Velocity Magnitude (m/s),Accel <Z> (rad/s)
5.250000000000184741e+00,1.716208514605421442e+03,4.211845250935052150e+02,4.212659441187133211e+02,-3.789453776784429806e+01
5.252500000000185132e+00,1.717261422142752735e+03,4.210897961550596165e+02,4.211711884792021579e+02,-3.788143569625486862e+01
5.255000000000185523e+00,1.718314092876318682e+03,4.209950999470123065e+02,4.210764657324734799e+02,-3.786834876121805138e+01
5.257500000000185914e+00,1.719366526887934469e+03,4.209004364433552610e+02,4.209817758586186187e+02,-3.785527631513544122e+01
5.260000000000186304e+00,1.720418724259340024e+03,4.208058056072269437e+02,4.208871188359727853e+02,-3.784221890479499706e+01
5.262500000000186695e+00,1.721470685072183187e+03,4.207112074018565977e+02,4.207924946428551038e+02,-3.782917579136746866e+01
5.265000000000187086e+00,1.722522409408020849e+03,4.206166417913416922e+02,4.206979032576916779e+02,-3.781614710405358437e+01
5.267500000000187477e+00,1.723573897348319178e+03,4.205221087399374937e+02,4.206033446588994025e+02,-3.780313252881627761e+01
5.270000000000187867e+00,1.724625148974456124e+03,4.204276082127901191e+02,4.205088188250043117e+02,-3.779013173483359367e+01
5.272500000000188258e+00,1.725676164367722777e+03,4.203331401757314438e+02,4.204143257346078144e+02,-3.777714453042337084e+01
5.275000000000188649e+00,1.726726943609325417e+03,4.202387045947628508e+02,4.203198653663015989e+02,-3.776417082690137761e+01
5.277500000000189040e+00,1.727777486780390063e+03,4.201443014127041238e+02,4.202254376749770017e+02,-3.775125208019740342e+01
5.280000000000189431e+00,1.728827793961780344e+03,4.200499304752181047e+02,4.201310425181796973e+02,-3.773838696983649044e+01
5.282500000000189821e+00,1.729877865234082265e+03,4.199555917073396927e+02,4.200366798323491935e+02,-3.772553446372257469e+01
5.285000000000190212e+00,1.730927700677709709e+03,4.198612850819093296e+02,4.199423495826143267e+02,-3.771269416732400970e+01
5.287500000000190603e+00,1.731977300372986065e+03,4.197670105259214210e+02,4.198480517409536787e+02,-3.769986571982202150e+01
5.290000000000190994e+00,1.733026664400075333e+03,4.196727680309058428e+02,4.197537862903902806e+02,-3.768704916384941583e+01
5.292500000000191385e+00,1.734075792839113547e+03,4.195785575678845021e+02,4.196595532103933692e+02,-3.767424389791346329e+01
5.295000000000191775e+00,1.735124685770164660e+03,4.194843791089040224e+02,4.195653524805800885e+02,-3.766144964767053693e+01
5.297500000000192166e+00,1.736173343273223054e+03,4.193902326270525691e+02,4.194711840807235035e+02,-3.764866590524792400e+01
5.300000000000192557e+00,1.737221765428216713e+03,4.192961180964591676e+02,4.193770479907575464e+02,-3.763589222143164648e+01
5.302500000000192948e+00,1.738269952315009277e+03,4.192020354925378456e+02,4.192829441908273793e+02,-3.762312826599627869e+01
5.305000000000193339e+00,1.739317904013403904e+03,4.191079847909268778e+02,4.191888726611023230e+02,-3.761037403134189816e+01
5.307500000000193729e+00,1.740365620603142588e+03,4.190139659675385815e+02,4.190948333817861453e+02,-3.759762928211574007e+01
5.310000000000194120e+00,1.741413102163907297e+03,4.189199789992533738e+02,4.190008263332478577e+02,-3.758489360880724206e+01
5.312500000000194511e+00,1.742460348775322927e+03,4.188260238634780421e+02,4.189068514959442950e+02,-3.757216682391339191e+01
5.315000000000194902e+00,1.743507360516958215e+03,4.187321005387643709e+02,4.188129088505405662e+02,-3.755944827082503679e+01
5.317500000000195293e+00,1.744554137468328918e+03,4.186382090048124383e+02,4.187189983779175009e+02,-3.754673789519650029e+01
5.320000000000195683e+00,1.745600679708900543e+03,4.185443492413895115e+02,4.186251200589708219e+02,-3.753403539548375534e+01
5.322500000000196074e+00,1.746646987318088577e+03,4.184505212301389747e+02,4.185312738749625510e+02,-3.752133951595455130e+01
5.325000000000196465e+00,1.747693060375263485e+03,4.183567249542822424e+02,4.184374598074738856e+02,-3.750865066851508089e+01
5.327500000000196856e+00,1.748738898959754351e+03,4.182629603967652656e+02,4.183436778380497003e+02,-3.749596834131507705e+01
5.330000000000197247e+00,1.749784503150847286e+03,4.181692275414848154e+02,4.182499279484403587e+02,-3.748329232510258180e+01
5.332500000000197637e+00,1.750829873027789063e+03,4.180755263732988283e+02,4.181562101206093303e+02,-3.747062220279105560e+01
5.335000000000198028e+00,1.751875008669789395e+03,4.179818568778907206e+02,4.180625243367115900e+02,-3.745795751179476696e+01
5.337500000000198419e+00,1.752919910156022070e+03,4.178882190421794576e+02,4.179688705791816687e+02,-3.744529789537639175e+01
5.340000000000198810e+00,1.753964577565629497e+03,4.177946128537914774e+02,4.178752488306320743e+02,-3.743264315903436312e+01
5.342500000000199201e+00,1.755009010977722482e+03,4.177010383003630523e+02,4.177816590737128877e+02,-3.741999332617325535e+01
5.345000000000199591e+00,1.756053210471382272e+03,4.176074953708338739e+02,4.176881012913801214e+02,-3.740734750797525265e+01
5.347500000000199982e+00,1.757097176125662372e+03,4.175139840552184296e+02,4.175945754668539962e+02,-3.739470557263896211e+01
5.350000000000200373e+00,1.758140908019592416e+03,4.174205043443943168e+02,4.175010815835791504e+02,-3.738206705013131170e+01
5.352500000000200764e+00,1.759184406232179526e+03,4.173270562301844393e+02,4.174076196252460136e+02,-3.736943172326282792e+01
5.355000000000201155e+00,1.760227670842410134e+03,4.172336397050822256e+02,4.173141895757363500e+02,-3.735679916210693108e+01
5.357500000000201545e+00,1.761270701929253619e+03,4.171402547624921908e+02,4.172207914191762370e+02,-3.734416906733233077e+01
5.360000000000201936e+00,1.762313499571662533e+03,4.170469013960637881e+02,4.171274251397956618e+02,-3.733154176224885390e+01
5.362500000000202327e+00,1.763356063848573285e+03,4.169535795997016976e+02,4.170340907219310793e+02,-3.731891631107507123e+01
5.365000000000202718e+00,1.764398394838908871e+03,4.168602893687937012e+02,4.169407881502912687e+02,-3.730629286283762269e+01
5.367500000000203109e+00,1.765440492621572048e+03,4.167670306774173241e+02,4.168475174049909242e+02,-3.729367066966166533e+01
5.370000000000203499e+00,1.766482357275425329e+03,4.166738035663465212e+02,4.167542784807440057e+02,-3.728104981022625708e+01
5.372500000000203890e+00,1.767523988879410126e+03,4.165806080103181444e+02,4.166610713579170238e+02,-3.726843002685223638e+01
5.375000000000204281e+00,1.768565387512412144e+03,4.164874440069597199e+02,4.165678960219223654e+02,-3.725581108588621504e+01
5.377500000000204672e+00,1.769606553253312086e+03,4.163943115542656983e+02,4.164747524583050335e+02,-3.724319291619784167e+01
5.380000000000205063e+00,1.770647486180985197e+03,4.163012106506791952e+02,4.163816406527599270e+02,-3.723057529425621937e+01
5.382500000000205453e+00,1.771688186374303541e+03,4.162081412950751087e+02,4.162885605911271796e+02,-3.721795794680419789e+01
5.385000000000205844e+00,1.772728653912136679e+03,4.161151034872428909e+02,4.161955122594986847e+02,-3.720534050119066904e+01
5.387500000000206235e+00,1.773768888873354399e+03,4.160220972276937346e+02,4.161024956441751215e+02,-3.719272279910197909e+01
5.390000000000206626e+00,1.774808891336827628e+03,4.159291225168693700e+02,4.160095107314861025e+02,-3.718010493941616090e+01
5.392500000000207017e+00,1.775848661381428656e+03,4.158361793556831003e+02,4.159165575079095447e+02,-3.716748657350609619e+01
5.395000000000207407e+00,1.776888199086031818e+03,4.157432677457024397e+02,4.158236359601106642e+02,-3.715486743617324095e+01
5.397500000000207798e+00,1.777927504529516455e+03,4.156503876880178723e+02,4.157307460746835091e+02,-3.714224824618971610e+01
5.400000000000208189e+00,1.778966577790774409e+03,4.155575391921540245e+02,4.156378878401733346e+02,-3.712962822809563335e+01
5.402500000000208580e+00,1.780005418948698889e+03,4.154647222504920023e+02,4.155450612412594751e+02,-3.711700771334031401e+01
5.405000000000208971e+00,1.781044028082176510e+03,4.153719368670977587e+02,4.154522662653047860e+02,-3.710438650240799063e+01
5.407500000000209361e+00,1.782082405270103891e+03,4.152791830409864815e+02,4.153595028985439512e+02,-3.709176434424289681e+01
5.410000000000209752e+00,1.783120550591375149e+03,4.151864607741026134e+02,4.152667711279008813e+02,-3.707914161730246150e+01
5.412500000000210143e+00,1.784158464124938519e+03,4.150937700938567332e+02,4.151740709461307688e+02,-3.706651815995347476e+01
5.415000000000210534e+00,1.785196145949709944e+03,4.150011109769795326e+02,4.150814023344373709e+02,-3.705389401161536256e+01
5.417500000000210925e+00,1.786233596144574904e+03,4.149084834282463703e+02,4.149887652804308686e+02,-3.704126948056517676e+01
5.420000000000211315e+00,1.787270814788462076e+03,4.148158874204245876e+02,4.148961597644284893e+02,-3.702863363808572217e+01
5.422500000000211706e+00,1.788307801960259440e+03,4.147233230029601145e+02,4.148035857842535279e+02,-3.701600489864433996e+01
5.425000000000212097e+00,1.789344557738932963e+03,4.146307901533193672e+02,4.147110433213023839e+02,-3.700338325081368396e+01
